post,topic,audience
What’s next for #genomics research? Join us on May 11 to learn how our experts are using it to unlock insights to help develop medicines faster: https://t.co/U3LiUP5WLz https://t.co/DXs6qd6yWM,company announcement // conferences & outreach,all
"From family reunions and gathering with friends to giving to charity, see some of the ways our employees spend Eid al-Fitr, also known as “Sweet Eid” at the end of Ramadan. #EidMubarak to all who celebrate. #BelongAtAbbVie https://t.co/BRRrsDZ2nP",company announcement // other,all
Today marks the start of #AAPI Heritage Month. Members of our Asian Leadership Network employee resource group share how they celebrate their background and culture. Explore ALN: https://t.co/xsxeThEKzT #BelongAtAbbVie https://t.co/70Wz0tZcSM,company announcement // other,all
"Today, @US_FDA approved the use of one of our treatments in active #AnkylosingSpondylitis. Read more: https://t.co/8Wui6gWXo8 https://t.co/gEnmCfV0p0",company announcement // patent,all
Medical breakthroughs can improve lives. We've invested over $50 billion to develop medicines of the future.,company announcement // research & publication,all
"We’ve invested over $50 billion in the medicines of tomorrow, because patients guide the work we do today.",company announcement // research & publication,all
"@carenboutya Hi Caren, There are professionals who can help you review financial support programs and answer any questions you have. Please call 1-866-759-7494.",company announcement // financial results,investors
#ICYMI: This morning we released our Q1 2022 financial results. Learn more about our performance: https://t.co/laWELkUZz8 $ABBV #earnings https://t.co/84P1DXxgxG,company announcement // financial results,investors
"At AbbVie, we're driven to create innovative medicines that can change lives for the better.",company announcement // conferences & outreach,all
Innovation starts with a commitment to the patient. Get to know AbbVie.,company announcement // motivation & support,all
"With every groundbreaking discovery, we're connecting patients to impactful medicines",company announcement // motivation & support,all
Join us LIVE: our Q1 2022 #earnings call is starting: https://t.co/Tx0Bij9w5a $ABBV https://t.co/vydc0aciE7,company announcement // financial results,investors
"Our Q1 2022 financial results are in, including adjusted diluted EPS of $3.16. Learn more: https://t.co/AiFqWoB5ZV $ABBV #earnings https://t.co/zV2Dfxs0H1",company announcement // financial results,investors
Listen in tomorrow morning at 8am CT as we share our Q1 2022 financial results. https://t.co/upqAK6f8pT $ABBV #earnings https://t.co/TtcsiL3ETG,company announcement // financial results,investors
"At AbbVie, we’re constantly tackling the toughest challenges to change lives. And we’ll never give up.",company announcement // conferenes & outreach,all
"@sweetheart8148 Hi Angelica, Please contact 1-800-255-5162 and the team can assist you.",partnership // other,all
"Don’t underestimate the value of enjoying your job and relationships with colleagues, says Darin Messina, our SVP of #AestheticScience. Get his leadership tips: https://t.co/zN9OQGxBKr #WednesdayWisdom https://t.co/z6MC9OEtfN",company announcement // other,all
A partnership that’s different by design: See how we’re working with @calico to advance #AgingResearch for diseases like #Parkinsons and #cancer. https://t.co/LrSlA5kcfz https://t.co/KvVPOnD4sj,partnership // research & publication,all
"Join our #investor call on Friday, April 29 at 8am CT where we’ll share our Q1 2022 financial results. https://t.co/vknJuYDwe1 $ABBV #earnings https://t.co/WgeKZRxjxc",company announcement // financial results,investors
Can 1 million #genomes help us develop better treatments for patients? Explore the capabilities of our Genomics Research Center where scientists are working to unlock knowledge from #DNA to advance medicine. https://t.co/1O01Ebastn #DNADay2022 https://t.co/Cvk1CR7Ad9,company announcement // conferences & outreach,all
"Honored to be recognized by the @PRNews #SocialImpact2022 Awards in two categories: Stakeholder Engagement and Employee Volunteer Program. We're grateful to our partners @LakeCoHealth, @WeAreNCCP & @UWLC for making this possible. Learn more: https://t.co/Wy5lUiOMMP https://t.co/CValW89VGS",company announcement // other,all
"On #AMLAwarenessDay, we’re unwavering in our commitment to spread awareness of this disease. Learn about AML, including its signs and symptoms, here: https://t.co/BpFwiX1I33 @AcuteLeuk https://t.co/ai8jo5yFYF",company announcement // general diesase info / awareness,all
"Today is #AMLAwarenessDay. When it comes to acute myeloid leukemia (#AML), one of the most aggressive blood cancers, knowledge is power. Learn more: https://t.co/ICzSsRyLWA https://t.co/znqJmohEPO",company announcement // general disease info / awareness,all
"@MenyaraC Hi @MenyaraC, we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
#AMLAwarenessDay is tomorrow. Don’t wait to learn more about this disease – discover important facts about leukemia today: https://t.co/YxsSbhSYTv https://t.co/SLJvNK1Q4G,company announcement // motivation & support,all
Did you hear? It’s an exciting time for genomics research – the human #genome is now fully mapped. Our #Genomics Research Center is unlocking one million genomes to advance medicine: https://t.co/fWZsIgvAoZ https://t.co/Z7jDeBdCXq,partnership // research & publication,all
Congratulations to our 2022 @MBiolabs Golden Ticket recipients Qinotto and Think Bioscience. We’re pleased to support and celebrate these emerging #biotechs and their #scientific innovations. https://t.co/9SUVY6zzP4,partnership // general disease info / awareness,all
"“A sense of belonging is critically important.” Rae Livingston, Chief Equity Officer, shares how we’re accomplishing this with our 2022 #equity and inclusion priorities: https://t.co/GSC5UiOdax #BelongAtAbbVie https://t.co/ZTwi27oETF",partnership // general disease info / awareness,all
"Scientists just mapped the final 8% of the human #genome. Now that the gap is filled, where is our #genomics research headed next? Find out: https://t.co/SUbZDTZClg https://t.co/gfwlMBgADQ",company announcement // conferences & outreach,all
"From watching surgery on TV as a kid to studying #bioengineering in college, see what SVP of #AestheticScience Darin Messina has learned from bringing different disciplines together. https://t.co/hgcGBPfYyQ https://t.co/GKZ9GDjBWQ",company announcement // other,all
We’ve announced topline results from our investigational Phase 1/2 clinical trial with @Genmab in patients with relapsed/refractory large B-cell lymphoma (#LBCL). Read more: https://t.co/Vb75EalIx1 https://t.co/KJ8nYvKcM0,company announcement // clinical trial,all
"Some patients with advanced #Parkinsons disease may experience symptoms like dyskinesia. On #WorldParkinsonsDay, discover our research efforts to help those affected by this disease: https://t.co/kLJLzx5Bq3 https://t.co/0BJxGbbmxE",company announcement // general disease info / awareness,all
"On #WorldParkinsonsDay, meet a medical director who’s traveled the globe to advance #ParkinsonsDisease research. Read more: https://t.co/3carQjctla @MichaelJFoxOrg https://t.co/BiODQZnRoD",company announcement // motivation & support,all
Cheers to our employees for helping us land on @GPTW_US & @FortuneMagazine's 100 #BestCompanies to Work For list for the fifth year in a row. Learn why: https://t.co/3lbClDRHi6 #100BestCos https://t.co/bf054wNMAa,company announcement // new hire / employee update,all
Thanks @HeartofAmericaF for being an amazing partner. The countdown is on for our 2022 Week of Possibilities and we cannot wait to mobilize our volunteers all over the country. #AbbVieGivesBack,partnership // general disease info / awareness,all
"How do we support our employees' overall well-being? Explore our unique programs, such as Week of Well-Being, that encourage healthy habits for employees both in and outside of the workplace: https://t.co/f70YxEiPGj #AbbVieLife #WellnessWednesday #WeekOfWellBeing https://t.co/HfY0FpJCIT",company announcement // other,all
#Migraine freedom looks different to each person. Hear from Brett on what migraine freedom means to her. #AANAM https://t.co/ZBxwTH3OIz,company announcement // motivation & support,all
Can we use #DNA to discover medicines faster? Meet the scientists using #genomic research to find the answer: https://t.co/8Ue4iLiZ72 https://t.co/9mZBz5C5Lh,company announcement // conferences & outreach,all
"Early diagnosis of movement disorders, such as #Parkinsons and #spasticity, is critical to patients. Hear from our expert, Anand Patel, about some of the challenges with early diagnosis. #AANAM https://t.co/Av8HcbozTW",company announcement // general disease info / awareness,all
"“They want a cure. I want a cure.” From @MichaelJFoxOrg to AbbVie, see why Dr. Maurizio Facheris centered his career on #Parkinsons research: https://t.co/Yv4sHjb2MJ https://t.co/lXhLLEjxb0",company announcement // conferences & outreach,all
"During #AANAM, in person attendees can try out our #Spasticity Virtual Experience training tool. If you’re at the conference, stop by booth #426 and check it out. https://t.co/htZUJu6esl",company announcement // conferenes & outreach,all
"Neurological disorders such as #migraine, #Parkinsons and spasticity impact people worldwide. Read about our commitment to helping patients, their families and HCPs navigate these complex conditions. https://t.co/BHJLbMublm #AANAM https://t.co/6f83sP1rsZ",company announcement // general disease info / awareness,all
#AANAM is back in person this year and our team is on the ground in Seattle ready to dive into more #neuroscience research and data presentations. https://t.co/NFPPfRPIKa,company announcement // conferences & outreach,all
"At this year’s #AANAM, we’re presenting new research and data on #migraine, spasticity and #Parkinsons. Learn more: https://t.co/HnS0i1WVQL https://t.co/XgoFMYeXrQ",company announcement // conferences & outreach,all
How do science and research help build #resiliency? Our head of HR explains how we used employee insights to shift our focus to best support our people during the pandemic. https://t.co/wsaEHjGFR1 #AbbVieLife https://t.co/velWQTkpuV,company announcement // other,all
Can 1 million #genomes help us develop better treatments for patients? Explore the capabilities of our Genomics Research Center where scientists are working to unlock knowledge from #DNA to advance medicine. https://t.co/kUQdVA12qZ https://t.co/9BTBUqtVmS,company announcement // conferences & outreach,all
"Laura Schumacher, our Vice Chairman, External Affairs and Chief Legal Officer, was named a winner of the 2022 @ABAesq Margaret Brent Award for her commitment to advancing #women in the #LegalIndustry. Join us in congratulating her ?? https://t.co/vsO08ZzX5M https://t.co/F7WYzXsiaf",company announcement // other,all
Commitment to learning and development? We offer that. Join us today to work with inspirational #WomenInScience like Kimberly and Shevonne: https://t.co/Q5GqsHc4uF #WomensHistoryMonth #AbbVieLife https://t.co/BmFQIHdPuG,company announcement // other,all
What better way to showcase #BayArea innovation in science and #technology than with the official public opening of our South San Francisco site. Explore our site and career opportunities: https://t.co/0Y9n9hNL8g https://t.co/sWjUDIJSfj,company announcement // other,all
"How is our Saudi Arabia location breaking down barriers in the workplace? Amrah says it’s a combination of hiring practices, development, mentorship and community outreach. Explore our culture: https://t.co/OX7UF2ty66 #WomensHistoryMonth #BelongAtAbbVie https://t.co/tbpDNaPe5j",company announcement // new hire / employee update,all
"At this year’s #AANAM, we’re sharing new data and research across our #neuroscience portfolio in some of the most difficult-to-treat neurological diseases. Read more: https://t.co/XRtpq2qBJa https://t.co/DVBpDoQd7i",company announcement // research & publication,all
RT @HeatherDNevitt How AbbVie Legal Chief Laura Schumacher Built a Successful Diversity Program https://t.co/foTpz6P5WS via @corpcounsel,company announcement // new hire / employee update,all
@rodsmujica We saw your tweet and wanted to connect. Please call us at 800 1 222 843 for further support.,company announcement // other,all
"In Canada, our two general managers are women. This #WomensHistoryMonth, they share their wisdom on what drives an #inclusive workplace. #BelongAtAbbVie https://t.co/vyXLWZgNz9",company announcement // other,all
It’s been almost 20 years since researchers sequenced the human genome. Where is #genomics research headed next? Find out: https://t.co/Apv2KZzns9 https://t.co/iuYh7wgtGa,company announcement // conferences & outreach,all
Looking to start your next adventure? Hear from Tracy and Meg about the importance of support systems for #WomenInScience. Explore our opportunities: https://t.co/xBbgyRvcYR #WomensHistoryMonth #AbbVieLife https://t.co/aTlZfCAkN1,company announcement // other,all
"Commitment to #equity, equality, diversity and inclusion? We offer that. Join our #women leaders today in making possibilities real: https://t.co/9HmhcO47St #WomensHistoryMonth https://t.co/crlnFhWzmw",company announcement // other,all
We announced top-line data from our Phase 3 trial for the preventive treatment of #ChronicMigraine. See the results: https://t.co/nltQBlH0yt https://t.co/an6JWJTMi6,company announcement // research & publications,all
"@mollswalls50 Hi Stephanie, so we can better help, can you DM us with more information?",company announcement // other,all
Show your support for a gender equal world by joining us to help #BreakTheBias on #IWD2022. ???? Explore our inclusive culture: https://t.co/FRo4GLLJwU #BelongAtAbbVie https://t.co/hdooYgUqa2,company announcement // other,all
"DYK #glaucoma is the leading cause of irreversible blindness worldwide, and the number of people living with this condition is expected to increase? During #WorldGlaucomaWeek, learn more about our work in this area. https://t.co/KRKyXTw2nT https://t.co/xRchAGWUGG",company announcement // general disease info / awareness,all
Reminder: The submission deadline for our Golden Ticket with @labcentral is March 16. Apply today to win one year of lab space on the East Coast and opportunities to engage with our #scientists and business leaders: https://t.co/dcuO4aEnkA #biotech https://t.co/1KtplTs1NV,company announcement // patent,all
JUST IN: We announced top-line results from the second Phase 3 induction study evaluating our investigational treatment for patients with #CrohnsDisease. Read more: https://t.co/NaKSfT9Wlx https://t.co/hR8z2VIuBL,company announcement // research & publications,all
"To succeed as a #WorkingParent, surround yourself with people who support you both at work and at home, says VP of Global Medical Affairs Nicole Selenko-Gebauer. Read more of her top tips: https://t.co/YfVFmmwycS #WednesdayWisdom https://t.co/wvSXcwdFPE",company announcement // new hire / employee upate,all
"@PIH Our deepest condolences to PIH and Dr. Farmer’s family, friends and colleagues. His passing is an incalculable loss that will be felt across the global health community and beyond.",partnership // other,all
The submission deadline for our Golden Ticket in #Heidelberg is less than two weeks away. Apply today for a chance to win one year of lab space with @biolabs and opportunities to engage with our #scientists and business leaders. https://t.co/x9vAUms3NL #biotech https://t.co/CjGmLig7jN,partnership // research & publication,all
"It takes relentless dedication to advance quality care for those living with #IBD. Chiedzo Mpofu, VP, Immunology, shares our commitment. https://t.co/233HLa36Qb",company announcement // motivation & support,all
"With 26 new abstracts in #gastroenterology presented at #ECCO2022, we’re committed to driving discoveries that can help shape the IBD treatment landscape. Read more: https://t.co/LGtfQr0cZb https://t.co/0nDwqFY7xi",company announcement // conferences & outreach,all
Discovering diverse treatment options in #gastroenterology is what propels us forward. Learn more about our research: https://t.co/lVLjDZxeLS #ECCO2022 https://t.co/lfnYmep0ZF,company announcement // conferences & outreach,all
We're proud to support @DirectRelief and their work with @NightMinistry providing medical and social services to those experiencing homelessness across #Chicago. Thank you for your life-saving work and mobile outreach program.,company announcement // other,all
Black Health and Wellness is this year’s #BlackHistoryMonth theme. Watch how some of our Black Business Network ERG members practice #SelfCare. #BelongAtAbbVie https://t.co/oled0Mib3C,company announcement // other,all
"Day in and out, we’re continually looking for new cures and solutions to make a difference in patients’ lives. Explore: https://t.co/xOXlebM3TF https://t.co/6WHNIPz8fD",company announcement // general disease info / awareness,HCP / Clinical / R&D
#WomenInScience like Chen push the status quo to make a remarkable impact on people’s lives. Explore our #STEM opportunities: https://t.co/pexJZqMHY9 #IDWGS #AbbVieLife https://t.co/BbOtz7QykH,company announcement // other,all
"How do we support women in scientific careers? On #WomenInScience Day, hear advice from our R&D leaders: https://t.co/1HH3vaeKPp #February11 #IDWGS https://t.co/cCpVYo0DI7",company announcement // other,all
"@JustDani2NT Hi Just Dani, we appreciate you taking the time to reach out, however, we're not able to recommend any treatments on this page. Your doctor is the best person to speak with about treatments, so make sure you write your question down before yo",partnership // other,all
"Her passion for science came from her mom, a biology teacher. See how Nicole Selenko-Gebauer, our VP of global medical affairs, turned childhood curiosity into a career she loves. #WomenInScience #IDWGS https://t.co/MWhPVNpUZH https://t.co/bNKnEadI4Y",company announcement // other,all
"@RizzoForFirst Hi Kyle, we saw your tweet and would like to connect. So we can better help, can you DM us with more information?",company announcement // other,all
"To address health inequities in underserved communities, we’ve partnered with organizations like @DirectRelief. Explore how they’re making a difference around the U.S.: https://t.co/zE10yxULo7 #BlackHistoryMonth #AbbVieGivesBack https://t.co/kVXzK8NPYE",company announcement // other,all
"@CISNational ??Congratulations, @CISNational! We love seeing our partners shine. What a transformational donation that will make an incredible impact for your students.",company announcement // other,all
"Calling emerging #biotechs in the New England area: We’re accepting applications for our Golden Ticket program with @labcentral. Apply by March 16 for the chance to win lab space in Cambridge, MA, and more: https://t.co/uMpG4Wl8DM https://t.co/e7wSFKERcu",partnership // research & publication,all
Take your #entrepreneurial idea to the next level by applying for this year’s Golden Ticket with @MBiolabs by February 18. See details below.,company announcement // other,all
"Around the ??, our #oncology teams wore blue and orange to raise awareness and show support for #WorldCancerDay. Join us and discover how you can help transform the standards of care for #cancer patients: https://t.co/4arfvAUuEi https://t.co/7x7kxlVi9i",company announcement // motivation & support,all
"""People have dedicated their lives to finding a cure."" On #WorldCancerDay, hear Jennifer’s story and learn how we're fighting for #patients like her every day: https://t.co/zIsbB8ad5Q https://t.co/zSx2yDofZE",company announcement // motivation & support,patients/caregivers
"Not Wordle, just here analyzing some ?? sequences. https://t.co/oaUFfRfAtE",company announcement // research & publication,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. Learn about then & now: https://t.co/myBm6hnBmU",company announcement // motivation & support,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. Learn about then & now: https://t.co/FbNjSjsQkg",company announcement // motivation & support,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. https://t.co/myBm6hnBmU",company announcement // motivation & support,all
New approaches & technologies to tackle blood cancer have changed the way it’s treated. See what scientists are working on next: https://t.co/WIhAsueEko,company announcement // general disease info / awareness,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it could mean for patients: https://t.co/eKGulsdKY0,company announcement // motivation & support,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it could mean for patients: https://t.co/eKGulsdKY0,company announcement // motivation & support,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. https://t.co/FbNjSjsQkg",company announcement // motivation & support,all
New approaches & technologies to tackle blood cancer have changed the way it’s treated. See what scientists are working on next: https://t.co/zlQEuW7eXg,company announcement // general disease info / awareness,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it could mean for patients: https://t.co/IkTbbZHbBA,company announcement // motivation & support,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. https://t.co/YtvrojfKHB",company announcement // motivation & support,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. https://t.co/8XKuojlLaE",company announcement // motivation & support,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. Learn about then & now: https://t.co/YtvrojfKHB",company announcement // motivation & support,all
New approaches & technologies to tackle blood cancer have changed the way it’s treated. See what scientists are working on next: https://t.co/lFnuGcY8pn,company announcement // motivation & support,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it could mean for patients: https://t.co/XOtZmloysk,company announcement // motivation & support,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. Learn about then & now: https://t.co/8XKuojlLaE",company announcement // motivation & support,all
New approaches & technologies to tackle blood cancer have changed the way it’s treated. See what scientists are working on next: https://t.co/2St83KbWIl,company announcement // general disease info / awareness,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it could mean for patients: https://t.co/2s878MQgFS,company announcement // motivation & support,all
#BloodCancer patients like Ben have witnessed a #treatment renaissance. See what it’s meant for him: https://t.co/KBUhCEKP2l #WorldCancerDay https://t.co/xmoyz6RkhV,partnership // general disease info / awareness,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. Learn about then & now: https://t.co/YtvrojfKHB",company announcement // motivation & support,all
"If you’re an emerging #biotech company ready to take on the industry, apply for our Golden Ticket program for a chance to win lab space at @biolabs in #Heidelberg, Germany. Learn more: https://t.co/zDI2rTXkHW https://t.co/dvwDZl4mfx",company announcement // research & publication,HCP / Clinical / R&D
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. Learn about then & now: https://t.co/YtvrojfKHB",company announcement // motivation & support,all
New approaches & technologies to tackle blood cancer have changed the way it’s treated. See what scientists are working on next: https://t.co/lFnuGcY8pn,company announcement // motivation & support,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it could mean for patients: https://t.co/XOtZmloysk,company announcement // motivation & support,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. Learn about then & now: https://t.co/8XKuojlLaE",company announcement // motivation & support,all
New approaches & technologies to tackle blood cancer have changed the way it’s treated. See what scientists are working on next: https://t.co/2St83KbWIl,company announcement // general disease info / awareness,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it could mean for patients: https://t.co/2s878MQgFS,company announcement // motivation & support,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. Learn about then & now: https://t.co/EUUagIAqPf",company announcement // motivation & support,all
New approaches & technologies to tackle blood cancer have changed the way it’s treated. See what scientists are working on next: https://t.co/EUUagIAqPf,company announcement // general disease info / awareness,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it could mean for patients: https://t.co/2Nj3Vy3yiU,company announcement // motivation & support,all
Scientists’ new discoveries launched a renaissance in blood cancer treatment. See what it could mean for patients: https://t.co/Dks5TEvALV,company announcement // motivation & support,all
New approaches & technologies to tackle blood cancer have changed the way it’s treated. See what scientists are working on next: https://t.co/Dks5TEvALV,partnership // research & publication,all
"Changing the longtime standard in blood cancer treatment wasn’t easy, but scientists see more possibilities ahead. Learn about then & now: https://t.co/Dks5TEvALV",partnership // research & publication,all
#ICYMI: This morning we released Q4 and full-year 2021 financial results. Learn more about our performance: https://t.co/6wUAv4KjWS $ABBV #earnings https://t.co/LM7nGE2wn6,company announcement // financial results,investors
Join us LIVE: our Q4 and full-year 2021 #earnings call is starting: https://t.co/sUuHr8k4Cv $ABBV https://t.co/6ODsVhkvf1,company announcement // financial results,investors
"Our Q4 and full-year 2021 financial results are in, reflecting double-digit revenue and EPS growth in 2021. Learn more: https://t.co/BFGUkLjPKB $ABBV #earnings https://t.co/gA87h50uhc",company announcement // financial results,investors
Listen in tomorrow morning at 8am CT as we share our Q4 and full-year 2021 financial results. https://t.co/MiqZXDDLSD $ABBV #earnings https://t.co/XK27hcgfbV,company announcement // financial results,investors
"This #BlackHistoryMonth, get to know our Black Business Network employee resource group and all they’re doing to make an impact today: https://t.co/PuE8WZsCom #BelongAtAbbVie https://t.co/oTn3DcQKVq",company announcement // new hire / employee update,all
Happy #LunarNewYear. We’re wishing everyone success and good health in the #YearOfTheTiger. #BelongAtAbbVie https://t.co/nlznpf1plh,company announcement // motivation & support,all
JUST IN: We’re presenting 26 abstracts at #ECCO2022. Learn about our #gastroenterology research. https://t.co/bDiZj7eQTB https://t.co/6N8GEHy2AC,company announcement // conferences & outreach,all
RT @John_P_Price Ready to see inside? Top floor of #newneal2022 is getting ready for fire proofing - external wall system is being installed. Exciting progress each time we visit. @d187together #abbviegivesback @GilbaneBuilding @NMSAPride https://t.co/IHES1S83eh,partnership // other,investors
"February 4 is #WorldCancerDay. This year, @uicc is calling to #CloseTheCareGap by raising awareness of the inequities in #cancer care access around the world. Explore how you can show support and get involved: https://t.co/A4abvVNLfu https://t.co/adGOy7wgHG",company announcement // motivation & support,all
"On #WorldNTDDay, we’re proud to partner with @dndi on this important work.",partnership // general disease info / awareness,all
"“Just because you’re not experiencing something doesn’t make it not important.” This #WorldNTDDay, see why we’re investing to advance research for neglected tropical diseases like #RiverBlindness. https://t.co/c83VzoaDyy https://t.co/bvz5y05eGs",company announcement // motivation & support,all
#ICYMI: Watch the world premiere “Journey of Sight” documentary & panel discussion. Find out how we’re working with @DNDi to help advance research to help #BeatNTDs like #RiverBlindness. Watch: https://t.co/4ayAQk5rn3 https://t.co/BwMi4BcWwO,company announcement // conferences & outreach,all
"Join our #investor call on Wednesday, February 2 at 8am CT where we’ll share our Q4 and full-year 2021 financial results. https://t.co/HRrdBC1lAv $ABBV #earnings https://t.co/aXv8pscc1r",company announcement // financial results,investors
Starting Soon: Discover how partnerships like ours with @DNDi can help us advance research to #BeatNTDs like #RiverBlindness. Tune in today: https://t.co/lrYE3rVskr #WorldNTDDay https://t.co/6E0YxIemWM,company announcement // conferences & outreach,all
Great news – once again we scored 100% on the @HRC Corporate Equality Index and have been named one of the Best Places to Work for #LGBTQ+ Equality. More: https://t.co/6ZlzxLuFsL #CEI2022 ????? https://t.co/TIVmgKFy9p,company announcement // other,all
A retired scientist. A zoologist. An infectious disease doctor. See why they're committed to help #BeatNTDs like #RiverBlindness. https://t.co/3zSNMRoM3r https://t.co/8iMDdWjQWP,partnership // general disease info / awareness,all
Learn about the cast of #engineers behind our Specialized Research in Chaotic Systems (SPaRCS) team and how they are inventing #technologies facilitating the drug discovery process. @voxdotcom https://t.co/xCw4hPc5Qy,partnership // research & publication,all
Neglected tropical diseases affect 1M+ people globally. Subscribe to our YouTube channel to join us for the world premiere of our documentary “Journey of Sight” & hear how @DNDi & AbbVie are working to help people with #RiverBlindness. https://t.co/tiIgmXZfEo #BeatNTDs https://t.co/5LGaVXEzQJ,company announcement // motivation & support,all
Transforming patients’ lives starts with investing in #research and dedicated #scientists. Explore our impact: https://t.co/iya139kSCw https://t.co/Ot9q8bfQHF,company announcement // motivation & support,HCP / Clinical / R&D
What’s the future of #DataScience in biopharma? Our data convergence experts share how we’ are using the power of technology and collaboration to transform the future of #medicine: https://t.co/ES1egcWdmO https://t.co/KX8drRf3f5,company announcement // conferences & outreach,all
"To create a more equitable world, we all must work together. See the impact our partners have made over the past year advancing health and education #equity within underserved Black and historically marginalized communities: https://t.co/29Rli01xgZ #DayofRacialHealing #HowWeHeal https://t.co/5xfAOjQrMb",company announcement // other,all
"Today, we’re honoring the legacy of Dr. Martin Luther King, Jr. with a #DayOn. From volunteerism to education, see some of the ways our employees are spending #MLKDay. https://t.co/mPGWznitM5",company announcement // other,all
Scientists’ new discoveries launched a renaissance in #BloodCancer #treatment. See what it means for patients: https://t.co/HdCyToUb1x https://t.co/GURWwBzsfx,company announcement // motivation & support,all
How are we fueling breakthrough medicine? By investing approximately $50B in #research & #development since our opening day in 2013. https://t.co/Mc8sIWFePa https://t.co/6r2ipTmceb,company announcement // conferences & outreach,all
Discovery ?? development ?? delivery. #Researchers like Ahmed drive our relentless approach to find new medicines that will make a remarkable impact on #patients. Explore: https://t.co/eeLMyOL2Sa https://t.co/YMrGQHIFaS,company announcement // motivation & support,HCP / Clinical / R&D
Congratulations to our 2021 Golden Ticket recipients Regel Therapeutics and @WeatherwaxBio. These emerging #biotech companies will receive 1 year of lab space at @MBiolabs and opportunities to engage with our business and #scientific leaders.,partnership // general disease info / awareness,all
"Discover how this AbbVie team pushed through #pandemic roadblocks to continue advancing potentially life-saving #medicines, and what motivated them to stay the course. Via @voxdotcom. https://t.co/GocVhdacSw",partnership // research & publication,all
"@jess_brown3 Hi Jessica, we saw your tweet and would like to connect. Can you DM us with more information?",company announcement // other,all
"NEWS: Today, we announced our @US_FDA and @EMA_News submissions for non-radiographic #AxialSpondyloarthritis. In addition, we’ve announced our submission to the EMA for a label enhancement for #AnkylosingSpondylitis. Read more: https://t.co/a1uyWLUMOi https://t.co/qFoF0EuhWe",company announcement // patent,all
"His job description? To explore the unknown. Get to know Jonathon Sedgwick, our new VP & head of discovery #research, and the opportunity he sees at AbbVie: https://t.co/Byeh0cLcsm https://t.co/DUJWUKofUS",company announcement // new hire / employee update,all
#JPM2022 is approaching and we're looking forward to discussing collaboration opportunities during our virtual #Partnering Week January 10-14. Find out how to meet with us: https://t.co/9ZwAxnwxFM #Immunology #Oncology #Neuroscience #EyeCare #Aesthetics https://t.co/nbeNLIlB5J,company announcement // conferences & outreach,all
"NEWS: Today, we received our first Breakthrough Therapy Designation for an investigational treatment in #SolidTumors. Learn more: https://t.co/c0EdeeiEez https://t.co/5Wyxyfl5xV",company announcement // research & publications,all
"In 2022, we’re looking forward to a #NewYear full of happiness and health fueled by ongoing innovation. ?? #HappyNewYear https://t.co/p0fF5U5f0t",company announcement // other,all
How do we invent new #medicines? With a team that never gives up for #patients like Jennifer. Learn more: https://t.co/zIW9fSu9V2 https://t.co/BxEqtBiHoC,company announcement // research & publication,patients/caregivers
"“It takes time to get things right in #science.” Via @voxdotcom, learn how our scientists relentlessly push past the unknowns of #Alzheimers and #Parkinsons in pursuit of new therapies. https://t.co/UrJV2Tk3o9",company announcement // motivation & support,all
"Wishing joy this #Kwanzaa to all who celebrate. Watch to learn more about Nguzo Saba, Kwanzaa’s 7 principles, from members of our Black Business Network employee group. #AbbVieLife https://t.co/hGMqJEVm67",company announcement // other,all
"#HappyHolidays and #SeasonsGreetings to you and yours, from all 48,000 of us around the world. https://t.co/aSwLIINSRe",partnership // other,all
AbbVie experts like Mudra never stop working for patients. See how our investment in #research & #development makes her work possible. https://t.co/0za1LcUHZu https://t.co/nVyHP3NARz,company announcement // conferences & outreach,all
Explore marketing director Pablo Hernandez’s approach to #leadership and how his passion for #mentoring plays a big role. #AbbVieLife,company announcement // new hire / employee update,all
